id,plan_name,iso3,year,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,food_insecure
526,Syria Humanitarian Response Plan 2017,SYR,2017,,,,,,,,,,
533,Libya 2017,LBY,2017,,,,,,,,,,
536,Nigeria 2017,NGA,2017,3376,Water and Sanitation,Affected,custom,,Total,Total,Water and Sanitation,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3376,Water and Sanitation,In Need,inNeed,3600000,Total,Total,Water and Sanitation,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3376,Water and Sanitation,Targeted,target,2e+06,Total,Total,Water and Sanitation,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3374,Nutrition,Affected,custom,,Total,Total,Nutrition,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3374,Nutrition,In Need,inNeed,3400000,Total,Total,Nutrition,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3374,Nutrition,Targeted,target,2700000,Total,Total,Nutrition,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3369,Education,Affected,custom,,Total,Total,Education,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3369,Education,In Need,inNeed,2900000,Total,Total,Education,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3369,Education,Targeted,target,1600000,Total,Total,Education,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3368,Early Recovery and Livelihoods,Affected,custom,,Total,Total,Early Recovery and Livelihoods,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3368,Early Recovery and Livelihoods,In Need,inNeed,8500000,Total,Total,Early Recovery and Livelihoods,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3368,Early Recovery and Livelihoods,Targeted,target,4500000,Total,Total,Early Recovery and Livelihoods,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3373,Health,Affected,custom,,Total,Total,Health,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3373,Health,In Need,inNeed,6900000,Total,Total,Health,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3373,Health,Targeted,target,5900000,Total,Total,Health,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3375,Protection,Affected,custom,,Total,Total,Protection,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3375,Protection,In Need,inNeed,6100000,Total,Total,Protection,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3375,Protection,Targeted,target,2400000,Total,Total,Protection,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3372,Food Security,Affected,custom,,Total,Total,Food Security,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,TRUE
536,Nigeria 2017,NGA,2017,3372,Food Security,In Need,inNeed,5100000,Total,Total,Food Security,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,TRUE
536,Nigeria 2017,NGA,2017,3372,Food Security,Targeted,target,5100000,Total,Total,Food Security,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,TRUE
536,Nigeria 2017,NGA,2017,3367,Coordination and Support Services,Affected,custom,,Total,Total,Coordination and Support Services,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3367,Coordination and Support Services,In Need,inNeed,,Total,Total,Coordination and Support Services,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3367,Coordination and Support Services,Targeted,target,,Total,Total,Coordination and Support Services,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3366,Camp Coordination and Camp Management,Affected,custom,,Total,Total,Displacement Management Systems / CCCM,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3366,Camp Coordination and Camp Management,In Need,inNeed,2300000,Total,Total,Displacement Management Systems / CCCM,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3366,Camp Coordination and Camp Management,Targeted,target,8e+05,Total,Total,Displacement Management Systems / CCCM,https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,FALSE
536,Nigeria 2017,NGA,2017,3370,Emergency Shelter and NFI,Affected,custom,,Total,Total,Shelter and Non-food Item(NFI),https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,
536,Nigeria 2017,NGA,2017,3370,Emergency Shelter and NFI,In Need,inNeed,2300000,Total,Total,Shelter and Non-food Item(NFI),https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,
536,Nigeria 2017,NGA,2017,3370,Emergency Shelter and NFI,Targeted,target,1e+06,Total,Total,Shelter and Non-food Item(NFI),https://www.humanitarianresponse.info/en/programme-cycle/space/document/nigeria-2017-humanitarian-response-plan,
540,Pakistan Humanitarian Strategic Plan 2017,PAK,2017,,,,,,,,,,
