iso2,iso3,title,date,type,phase,population,year
AF,AFG,Acute Food Insecurity May 2017 (East Region),2017-05-31,C,1,1068059,2017
AF,AFG,Acute Food Insecurity May 2017 (East Region),2017-05-31,C,2,1132910,2017
AF,AFG,Acute Food Insecurity May 2017 (East Region),2017-05-31,C,3,460861,2017
AF,AFG,Acute Food Insecurity May 2017 (East Region),2017-05-31,C,4,268900,2017
AF,AFG,Acute Food Insecurity May 2017 (East Region),2017-05-31,C,5,0,2017
AF,AFG,Acute Food Insecurity August 2017,2017-09-16,C,1,11468254,2017
AF,AFG,Acute Food Insecurity August 2017,2017-09-16,C,2,9961492,2017
AF,AFG,Acute Food Insecurity August 2017,2017-09-16,C,3,5695072,2017
AF,AFG,Acute Food Insecurity August 2017,2017-09-16,C,4,1879148,2017
AF,AFG,Acute Food Insecurity August 2017,2017-09-16,C,5,0,2017
AF,AFG,Acute Food Insecurity January 2018 (North East),2017-12-17,C,1,1081420,2017
AF,AFG,Acute Food Insecurity January 2018 (North East),2017-12-17,C,2,1524749,2017
AF,AFG,Acute Food Insecurity January 2018 (North East),2017-12-17,C,3,891454,2017
AF,AFG,Acute Food Insecurity January 2018 (North East),2017-12-17,C,4,410592,2017
AF,AFG,Acute Food Insecurity January 2018 (North East),2017-12-17,C,5,0,2017
AF,AFG,Acute Food Insecurity September 2018,2018-08-31,C,1,5851036,2018
AF,AFG,Acute Food Insecurity September 2018,2018-08-31,C,2,6877626,2018
AF,AFG,Acute Food Insecurity September 2018,2018-08-31,C,3,7255036,2018
AF,AFG,Acute Food Insecurity September 2018,2018-08-31,C,4,2583375,2018
AF,AFG,Acute Food Insecurity September 2018,2018-08-31,C,5,0,2018
AF,AFG,Acute Food Insecurity September 2018,2018-12-17,P,1,5153246,2018
AF,AFG,Acute Food Insecurity September 2018,2018-12-17,P,2,6785309,2018
AF,AFG,Acute Food Insecurity September 2018,2018-12-17,P,3,7731351,2018
AF,AFG,Acute Food Insecurity September 2018,2018-12-17,P,4,2897166,2018
AF,AFG,Acute Food Insecurity September 2018,2018-12-17,P,5,0,2018
AF,AFG,Acute Food Insecurity September 2019,2019-08-31,C,1,10118716,2019
AF,AFG,Acute Food Insecurity September 2019,2019-08-31,C,2,10374608,2019
AF,AFG,Acute Food Insecurity September 2019,2019-08-31,C,3,7793853,2019
AF,AFG,Acute Food Insecurity September 2019,2019-08-31,C,4,2438396,2019
AF,AFG,Acute Food Insecurity September 2019,2019-08-31,C,5,0,2019
AF,AFG,Acute Food Insecurity September 2019,2019-12-31,P,1,9989071,2019
AF,AFG,Acute Food Insecurity September 2019,2019-12-31,P,2,9450138,2019
AF,AFG,Acute Food Insecurity September 2019,2019-12-31,P,3,8591398,2019
AF,AFG,Acute Food Insecurity September 2019,2019-12-31,P,4,2694960,2019
AF,AFG,Acute Food Insecurity September 2019,2019-12-31,P,5,0,2019
AF,AFG,Acute Food Insecurity April 2020,2020-04-16,C,1,8925704,2020
AF,AFG,Acute Food Insecurity April 2020,2020-04-16,C,2,10942437,2020
AF,AFG,Acute Food Insecurity April 2020,2020-04-16,C,3,7383366,2020
AF,AFG,Acute Food Insecurity April 2020,2020-04-16,C,4,3474063,2020
AF,AFG,Acute Food Insecurity April 2020,2020-04-16,C,5,0,2020
AF,AFG,Acute Food Insecurity April 2020,2020-08-16,P,1,8880776,2020
AF,AFG,Acute Food Insecurity April 2020,2020-08-16,P,2,11531600,2020
AF,AFG,Acute Food Insecurity April 2020,2020-08-16,P,3,7006627,2020
AF,AFG,Acute Food Insecurity April 2020,2020-08-16,P,4,3306563,2020
AF,AFG,Acute Food Insecurity April 2020,2020-08-16,P,5,0,2020
AF,AFG,Acute Food Insecurity September 2020,2020-08-31,C,1,8904764,2020
AF,AFG,Acute Food Insecurity September 2020,2020-08-31,C,2,11336142,2020
AF,AFG,Acute Food Insecurity September 2020,2020-08-31,C,3,7544570,2020
AF,AFG,Acute Food Insecurity September 2020,2020-08-31,C,4,3604700,2020
AF,AFG,Acute Food Insecurity September 2020,2020-08-31,C,5,0,2020
AF,AFG,Acute Food Insecurity September 2020,2020-12-31,P,1,7675484,2020
AF,AFG,Acute Food Insecurity September 2020,2020-12-31,P,2,10560168,2020
AF,AFG,Acute Food Insecurity September 2020,2020-12-31,P,3,8852087,2020
AF,AFG,Acute Food Insecurity September 2020,2020-12-31,P,4,4302438,2020
AF,AFG,Acute Food Insecurity September 2020,2020-12-31,P,5,0,2020
AF,AFG,Acute Food Insecurity March 2021,2021-03-31,C,1,8669928,2021
AF,AFG,Acute Food Insecurity March 2021,2021-03-31,C,2,11781319,2021
AF,AFG,Acute Food Insecurity March 2021,2021-03-31,C,3,7766482,2021
AF,AFG,Acute Food Insecurity March 2021,2021-03-31,C,4,3172448,2021
AF,AFG,Acute Food Insecurity March 2021,2021-03-31,C,5,0,2021
AF,AFG,Acute Food Insecurity March 2021,2021-08-16,P,1,9694431,2021
AF,AFG,Acute Food Insecurity March 2021,2021-08-16,P,2,12233393,2021
AF,AFG,Acute Food Insecurity March 2021,2021-08-16,P,3,6719610,2021
AF,AFG,Acute Food Insecurity March 2021,2021-08-16,P,4,2742741,2021
AF,AFG,Acute Food Insecurity March 2021,2021-08-16,P,5,0,2021
AF,AFG,Acute Food Insecurity October 2021,2021-09-16,C,1,7953993,2021
AF,AFG,Acute Food Insecurity October 2021,2021-09-16,C,2,13613418,2021
AF,AFG,Acute Food Insecurity October 2021,2021-09-16,C,3,11988301,2021
AF,AFG,Acute Food Insecurity October 2021,2021-09-16,C,4,6856157,2021
AF,AFG,Acute Food Insecurity October 2021,2021-09-16,C,5,0,2021
AF,AFG,Acute Food Insecurity October 2021,2021-12-31,P,1,6440546,2021
AF,AFG,Acute Food Insecurity October 2021,2021-12-31,P,2,12473099,2021
AF,AFG,Acute Food Insecurity October 2021,2021-12-31,P,3,14073883,2021
AF,AFG,Acute Food Insecurity October 2021,2021-12-31,P,4,8739776,2021
AF,AFG,Acute Food Insecurity October 2021,2021-12-31,P,5,0,2021
AF,AFG,Acute Food Insecurity March 2022,2022-03-31,C,1,7451418,2022
AF,AFG,Acute Food Insecurity March 2022,2022-03-31,C,2,14625724,2022
AF,AFG,Acute Food Insecurity March 2022,2022-03-31,C,3,13036512,2022
AF,AFG,Acute Food Insecurity March 2022,2022-03-31,C,4,6593330,2022
AF,AFG,Acute Food Insecurity March 2022,2022-03-31,C,5,20324,2022
AF,AFG,Acute Food Insecurity March 2022,2022-08-16,P,1,8076295,2022
AF,AFG,Acute Food Insecurity March 2022,2022-08-16,P,2,14730489,2022
AF,AFG,Acute Food Insecurity March 2022,2022-08-16,P,3,12944659,2022
AF,AFG,Acute Food Insecurity March 2022,2022-08-16,P,4,5975867,2022
AF,AFG,Acute Food Insecurity March 2022,2022-08-16,P,5,0,2022
AO,AGO,Acute Food Insecurity August 2019 (South),2019-08-01,C,1,215416,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-08-01,C,2,267056,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-08-01,C,3,199561,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-08-01,C,4,221613,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-08-01,C,5,0,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-12-02,P,1,148718,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-12-02,P,2,193379,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-12-02,P,3,271609,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-12-02,P,4,290231,2019
AO,AGO,Acute Food Insecurity August 2019 (South),2019-12-02,P,5,0,2019
AO,AGO,Acute Food Insecurity June 2021 (South),2021-07-17,C,1,531261,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-07-17,C,2,820999,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-07-17,C,3,1008246,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-07-17,C,4,307290,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-07-17,C,5,0,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-12-16,P,1,482826,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-12-16,P,2,683302,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-12-16,P,3,1167339,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-12-16,P,4,416659,2021
AO,AGO,Acute Food Insecurity June 2021 (South),2021-12-16,P,5,0,2021
BF,BFA,Cadre Harmonisé Analysis March 2022,2022-07-01,P,1,12468940,2022
BF,BFA,Cadre Harmonisé Analysis March 2022,2022-07-01,P,2,5331444,2022
BF,BFA,Cadre Harmonisé Analysis March 2022,2022-07-01,P,3,2825046,2022
BF,BFA,Cadre Harmonisé Analysis March 2022,2022-07-01,P,4,628464,2022
BF,BFA,Cadre Harmonisé Analysis March 2022,2022-07-01,P,5,0,2022
BF,BFA,Cadre Harmonisé Analysis November 2021,2022-07-01,P,1,14153777,2022
BF,BFA,Cadre Harmonisé Analysis November 2021,2022-07-01,P,2,5094526,2022
BF,BFA,Cadre Harmonisé Analysis November 2021,2022-07-01,P,3,2196110,2022
BF,BFA,Cadre Harmonisé Analysis November 2021,2022-07-01,P,4,436393,2022
BF,BFA,Cadre Harmonisé Analysis November 2021,2022-07-01,P,5,0,2022
BF,BFA,Cadre Harmonisé Analysis November 2020,2021-07-01,P,1,12957852,2021
BF,BFA,Cadre Harmonisé Analysis November 2020,2021-07-01,P,2,6364525,2021
BF,BFA,Cadre Harmonisé Analysis November 2020,2021-07-01,P,3,2472506,2021
BF,BFA,Cadre Harmonisé Analysis November 2020,2021-07-01,P,4,254394,2021
BF,BFA,Cadre Harmonisé Analysis November 2020,2021-07-01,P,5,0,2021
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-04-16,C,1,3159436,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-04-16,C,2,4033560,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-04-16,C,3,1864751,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-04-16,C,4,701119,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-04-16,C,5,0,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-07-01,P,1,0,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-07-01,P,2,8235130,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-07-01,P,3,1523734,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-07-01,P,4,0,2017
BI,BDI,Acute Food Insecurity March 2017 (2017 A),2017-07-01,P,5,0,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-08-17,C,1,2877920,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-08-17,C,2,5116036,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-08-17,C,3,1471009,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-08-17,C,4,293899,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-08-17,C,5,0,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-10-31,P,1,0,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-10-31,P,2,7145557,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-10-31,P,3,2613310,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-10-31,P,4,0,2017
BI,BDI,Acute Food Insecurity July 2017 (2017 B),2017-10-31,P,5,0,2017
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-03-17,C,1,5959644,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-03-17,C,2,3510365,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-03-17,C,3,1480587,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-03-17,C,4,0,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-03-17,C,5,0,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-04-16,P,1,0,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-04-16,P,2,9207829,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-04-16,P,3,1742766,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-04-16,P,4,0,2018
BI,BDI,Acute Food Insecurity March 2018 (2018 A),2018-04-16,P,5,0,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-08-01,C,1,4851502,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-08-01,C,2,4699417,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-08-01,C,3,1301598,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-08-01,C,4,98075,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-08-01,C,5,0,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-10-31,P,1,0,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-10-31,P,2,9213669,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-10-31,P,3,1751713,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-10-31,P,4,0,2018
BI,BDI,Acute Food Insecurity July 2018 (2018 B),2018-10-31,P,5,0,2018
BI,BDI,Acute Food Insecurity May 2020 (2020 A),2020-05-01,C,1,5587473,2020
BI,BDI,Acute Food Insecurity May 2020 (2020 A),2020-05-01,C,2,3918684,2020
